OBJECTID,NAAM,TYPE,STRAATNAAM,DISTRICT,POSTCODE,CLUSTER,BEHEERDER,SHAPE_Length,SHAPE_Area
26408,PREKERSSTRAAT BUURTPARK,buurtpark,PREKERSSTRAAT,ANTWERPEN,2000,Cluster Noord,SB,1194.54323259545,12779.1047833939
26409,RIVIERENHOF,park,HOOFTVUNDERLEI,DEURNE,2100,Cluster Zuid,niet SB,4467.26385087017,1056348.1228533
26410,PAUL VEKEMANSLAAN BUURTPARK,buurtpark,PAUL VEKEMANSLAAN,HOBOKEN,2660,Cluster Zuid,SB,182.683697887656,2019.88113509615
26411,PAUL VEKEMANSLAAN WOONCOMPLEX,buurtpark,PAUL VEKEMANSLAAN,HOBOKEN,2660,Cluster Zuid,niet SB,150.336973744337,1388.84204491705
26412,PARK VAN EDEN,park,GALLAITLAAN,WILRIJK,2610,Cluster Zuid,SB,1889.68088706006,43485.4786052464
26413,KERKHOFSTRAAT BUURTPARK,buurtpark,KERKHOFSTRAAT,WILRIJK,2610,Cluster Zuid,SB,169.666190762946,1634.4502750305
26414,NEERLANDPARK,park,WANNINKHOVELAAN,WILRIJK,2610,Cluster Zuid,SB,624.273020057751,17778.320537086
26415,HOF VAN NAUWELAERTS,buurtpark,LODEWIJK VAN BERCKENLAAN,BERCHEM,2600,Cluster Zuid,,305.24709264587,5582.17965733561
26416,BRILSCHANS,park,MARCEL AUBURTINLAAN,BERCHEM,2600,Cluster Zuid,SB,1457.36056193687,86775.3695261969
26417,EGLANTIERLAAN BUURTPARK,buurtpark,EGLANTIERLAAN,ANTWERPEN,2020,Cluster Zuid,,1937.12700184363,59428.1932896587
26418,JAN DENUCESTRAAT BUURTPARK,buurtpark,JAN DENUCESTRAAT,ANTWERPEN,2020,Cluster Zuid,,1031.81210613691,26054.5049782592
26419,PARK SPOOR NOORD,park,NOORDERPLAATS,ANTWERPEN,2060,Cluster Noord,SB,1450.23748130574,82647.0889401482
26420,SINT ANNEKE-STRAND,buurtpark,WANDELDIJK,ANTWERPEN,2050,Cluster Zuid,SB,1815.54908382979,51938.2174640587
26421,MUISBROEK,park,EKERSEDIJK,ANTWERPEN,2030,Cluster Noord,SB,5989.64508182909,497172.976532085
26422,MUISBROEK,park,EKERSEDIJK,ANTWERPEN,2030,Cluster Noord,SB,2649.86538818102,43463.9056631904
26423,BOGAARDESTRAAT BUURTPARK,buurtpark,BOGAARDESTRAAT,ANTWERPEN,2000,Cluster Noord,,221.392757527509,1935.40276997362
26424,MUNTHOF,buurtpark,MUNTHOF,ANTWERPEN,2000,Cluster Noord,SB,144.622776137703,1134.9218886823
26425,MAARTEN LUTHERPLEIN,buurtpark,MAARTEN LUTHERPLEIN,ANTWERPEN,2000,Cluster Noord,SB,226.808736893867,990.296726989352
26426,ROOIBOSPARK,park,ROOIBOSLAAN,WILRIJK,2610,Cluster Zuid,SB,468.015504579896,12741.70380427
26427,NACHTEGALENPARK,park,GERARD LE GRELLELAAN,ANTWERPEN,2020,Cluster Zuid,SB,10164.5435223416,791327.429861369
26428,GROENENBORGERPARK,buurtpark,OOSTERVELDLAAN,ANTWERPEN,2020,Cluster Zuid,niet SB,2146.00332965259,43432.7631389365
26429,STUIVENBERGPLEIN PARK,park,STUIVENBERGPLEIN,ANTWERPEN,2060,Cluster Noord,SB,578.451727633621,18579.5322862919
26430,PARK GROOT SCHIJN,park,RUGGEVELDLAAN,DEURNE,2100,Cluster Zuid,SB,8079.84984714964,264275.690773446
26431,KONING ALBERTPARK,park,KONING ALBERTPARKWEG,ANTWERPEN,2018,Cluster Noord,SB,1645.79164134769,45412.2210144301
26432,HOF VAN LEYSEN BUURTPARK,buurtpark,MARKGRAVELEI,ANTWERPEN,2018,Cluster Noord,niet SB,1834.69420414193,49060.8506809498
26433,MASTVEST,park,ERIC SASSELAAN,ANTWERPEN,2020,Cluster Zuid,SB,1133.77856881841,9367.14461080261
26434,MASTVEST,park,ERIC SASSELAAN,ANTWERPEN,2020,Cluster Zuid,SB,1649.48559893618,64441.5328248338
26435,LEEUWERIKPARK,park,COREMANSSTRAAT,BERCHEM,2600,Cluster Zuid,SB,1288.65471109865,40133.4439433478
26436,DE VELDEKENS,buurtpark,VELDEKENS,BERCHEM,2600,Cluster Zuid,,790.69478484451,12991.6015741038
26437,GROEN HART,park,TERLINDENHOFSTRAAT,MERKSEM,2170,Cluster Noord,SB,4503.85256665504,156549.634527176
26438,BOUCKENBORGH,park,BREDABAAN,MERKSEM,2170,Cluster Noord,SB,2263.60056874819,139259.346250518
26439,BORREWATERSTRAAT BUURTPARK,buurtpark,BORREWATERSTRAAT,MERKSEM,2170,Cluster Noord,,266.169111581305,2937.06574379448
26440,PARK SPOOR NOORD,park,HARDENVOORT,ANTWERPEN,2060,Cluster Noord,SB,2719.49166400376,106098.514956889
26441,PARK VAN EDEN,park,GALLAITLAAN,WILRIJK,2610,Cluster Zuid,SB,2843.40201532617,119550.210414502
26442,PARK VAN EDEN,park,DOORNSTRAAT,WILRIJK,2610,Cluster Zuid,natuurpunt,1252.96176919666,93753.8944263708
